City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
343,Bubaque,GW,11.2833,-15.8333,82.11,75,74,6.42,light rain
344,Havelock,US,34.8791,-76.9013,56.93,86,100,4.0,overcast clouds
345,Ishigaki,JP,24.3448,124.1572,81.18,76,10,7.43,clear sky
346,Qadian,IN,31.8178,75.3919,72.43,73,0,3.67,clear sky
347,Mehamn,NO,71.0357,27.8492,37.31,100,20,2.3,few clouds
348,North Bend,US,43.4065,-124.2243,58.86,94,100,9.22,overcast clouds
349,Utete,TZ,-7.986,38.758,66.81,91,15,0.34,few clouds
350,Bronnoysund,NO,65.4625,12.1997,50.0,93,100,2.3,moderate rain
351,Burla,IN,21.5,83.8667,75.33,95,100,2.48,moderate rain
352,Oriximina,BR,-1.7656,-55.8661,82.58,54,100,0.89,light rain
353,Verkhnevilyuysk,RU,63.4453,120.3167,26.69,90,99,6.82,overcast clouds
354,Salinopolis,BR,-0.6136,-47.3561,79.95,79,80,12.44,broken clouds
